title,url,duration
I Rode the Craziest Trains in Japan,https://www.youtube.com/watch?v=hTPIs370dPM,1379.0
I Visited the World's Busiest Train Station,https://www.youtube.com/watch?v=6dKiEY0UOtA,1278.0
"What is the ""Correct"" Speed Limit?",https://www.youtube.com/watch?v=JRbnBc-97Ps,1354.0
Amsterdam Closed This Bridge to Cars (but not bikes ofc),https://www.youtube.com/watch?v=g0F_hTGYa0Y,1093.0
DINOSAURS AND TRAINS!!!!! (with TierZoo),https://www.youtube.com/watch?v=6FwQp0xnFEE,1564.0
More Lanes are (Still) a Bad Thing,https://www.youtube.com/watch?v=CHZwOAIect4,1482.0
I Visited the Best* City in North America,https://www.youtube.com/watch?v=_yDtLv-7xZ4,3090.0
"Germany's ""Green"" City (with more bikes than cars!)",https://www.youtube.com/watch?v=6Vil5KC7Bl0,957.0
This Train Station Has No Business Being This Good,https://www.youtube.com/watch?v=HACaRm2KP6Q,1064.0
Even Small Towns are Great Here (5 Years in the Netherlands),https://www.youtube.com/watch?v=ztpcWUqVpIg,1100.0
Designing Urban Places that Don't Suck (a sense of place),https://www.youtube.com/watch?v=AOc8ASeHYNw,648.0
Amsterdam Just Closed their Busiest Road,https://www.youtube.com/watch?v=ymcBC7MFRIk,715.0
The Dumbest Excuse for Bad Cities,https://www.youtube.com/watch?v=REni8Oi1QJQ,780.0
I GOT A NEW TRUCK!! (AND A MILLION SUBSCRIBERS!),https://www.youtube.com/watch?v=8nZh7A7qTPo,995.0
The Next Great Cycling City,https://www.youtube.com/watch?v=zmp09Fd07oc,1326.0
This Tiny Island has Insane Traffic,https://www.youtube.com/watch?v=kdz6FeQLuHQ,1249.0
These Stupid Trucks are Literally Killing Us,https://www.youtube.com/watch?v=jN7mSXMruEo,2127.0
Amsterdam Just Got Awesomer,https://www.youtube.com/watch?v=EqwasBTzZS8,952.0
Would You Fall for It? [ST08],https://www.youtube.com/watch?v=n94-_yE4IeU,1607.0
"Why Amsterdam is Removing 10,000 Parking Spaces",https://www.youtube.com/watch?v=mXLqrMljdfU,1178.0
The Great Places Erased by Suburbia (the Third Place),https://www.youtube.com/watch?v=VvdQ381K5xg,686.0
Can Groceries Be Delivered TOO Quickly?!,https://www.youtube.com/watch?v=VpavEMVQpW8,796.0
How Toronto Got Addicted to Cars,https://www.youtube.com/watch?v=KkO-DttA9ew,1020.0
Crossing the Street Shouldn't Be Deadly (but it is),https://www.youtube.com/watch?v=_ByEBjf9ktY,1885.0
The Car-Replacement Bicycle (the bakfiets),https://www.youtube.com/watch?v=rQhzEnWCgHA,645.0
Why Swiss Trains are the Best in Europe,https://www.youtube.com/watch?v=muPcHs-E4qc,1012.0
Does Anyone Actually Cycle in Switzerland!?,https://www.youtube.com/watch?v=pWnreLG_cvc,1299.0
America Always Gets This Wrong (when building transit),https://www.youtube.com/watch?v=MnyeRlMsTgI,927.0
Why We Won't Raise Our Kids in Suburbia,https://www.youtube.com/watch?v=oHlpmxLTxpw,734.0
There's Something Wrong With Suburbia (The Orange Pill),https://www.youtube.com/watch?v=OQE_5MFCekg,165.0
The Gym of Life,https://www.youtube.com/watch?v=KPUlgSRn6e0,707.0
Business Parks Suck (but they don't have to),https://www.youtube.com/watch?v=SDXB0CY2tSQ,943.0
The Only* Car-Free Neighbourhood in Canada (and why you can't live there),https://www.youtube.com/watch?v=VWDFgzAjr1k,858.0
Suburbia is Subsidized: Here's the Math [ST07],https://www.youtube.com/watch?v=7Nw6qyyrTeI,616.0
Dutch Cities are Better for the Environment (and my sanity),https://www.youtube.com/watch?v=cO6txCZpbsQ,788.0
How to (Quickly) Build a Cycling City - Paris,https://www.youtube.com/watch?v=sI-1YNAmWlk,780.0
The Trains that Killed an Airline - Italian HSR,https://www.youtube.com/watch?v=IbFGG4T3_Yo,506.0
The Best Country in the World for Drivers,https://www.youtube.com/watch?v=d8RRE2rDw4k,948.0
Throwing Good Money After Bad Car Infrastructure - Wonderland Road,https://www.youtube.com/watch?v=Ds-v2-qyCc8,668.0
The Trains that Subsidize Suburbia - GO Transit Commuter Rail,https://www.youtube.com/watch?v=vxWjtpzCIfA,949.0
The Wrong Way to Set Speed Limits [ST06],https://www.youtube.com/watch?v=bglWCuCMSWc,669.0
Safe Cycling Showdown - Good vs. Bad City Design - Plus 1 Minus 2,https://www.youtube.com/watch?v=M8F5hXqS-Ac,1381.0
Why City Design is Important (and why I hate Houston),https://www.youtube.com/watch?v=uxykI30fS54,1023.0
TRAINS PART 2 | OFFICIAL TRAILER,https://www.youtube.com/watch?v=aM9Q5x6dM7w,82.0
Cities Aren't Loud: Cars Are Loud,https://www.youtube.com/watch?v=CTV-wwszGw8,1028.0
"1,000,000 Views on a Garbage Video - Garbage Day Revisited",https://www.youtube.com/watch?v=1fdxILdMk30,507.0
You Don't Need to Own a Car (If You Don't Drive to Work),https://www.youtube.com/watch?v=OObwqreAJ48,772.0
"Suburbs that don't Suck - Streetcar Suburbs (Riverdale, Toronto)",https://www.youtube.com/watch?v=MWsGBRdK2N0,1011.0
"Stroads are Ugly, Expensive, and Dangerous (and they're everywhere) [ST05]",https://www.youtube.com/watch?v=ORzNZUeUHAM,1094.0
How Bankrupt American Cities Stay Alive - Debt [ST04],https://www.youtube.com/watch?v=XfQUOHlAocY,661.0
32 Subscribers & Other Urbanist Channels You Should Be Watching,https://www.youtube.com/watch?v=qSW5xy_kg9E,575.0
The Houses that Can't be Built in America - The Missing Middle,https://www.youtube.com/watch?v=CCOdQsZa15o,490.0
Where the Bicycle was Invented (and Forgotten): Coventry [Guest Video],https://www.youtube.com/watch?v=Mxvk3KO8p20,943.0
Cycling Through a Blizzard in Amsterdam,https://www.youtube.com/watch?v=xB1tgkOM6Bw,417.0
Why Dutch Bikes are Better (and why you should want one),https://www.youtube.com/watch?v=aESqrP3hfi8,637.0
Drool Puddy - My Tuque's Too Tight,https://www.youtube.com/watch?v=g95IzRUAAh0,156.0
Why Canadians Can't Bike in the Winter (but Finnish people can),https://www.youtube.com/watch?v=Uhx-26GfCBU,914.0
Why American Cities Are Broke - The Growth Ponzi Scheme [ST03],https://www.youtube.com/watch?v=7IsMeKl-Sv0,579.0
Empty Amsterdam on a Friday Night during Corona [No Commentary],https://www.youtube.com/watch?v=nXexT_G8hwI,363.0
The Most Dangerous Places to Cycle in Amsterdam,https://www.youtube.com/watch?v=hGnt5YhEu4E,782.0
How Suburban Development Makes American Cities Poorer [ST02],https://www.youtube.com/watch?v=VVUeqxXwCA0,493.0
The Truth about American Cities - Part 1 - Strong Towns [ST01],https://www.youtube.com/watch?v=y_SXXTBypIg,332.0
"I am not a ""Cyclist"" (and most Dutch people aren't either)",https://www.youtube.com/watch?v=vMed1qceJ_Q,758.0
The Bike Lanes You Can't See - Ontvlechten,https://www.youtube.com/watch?v=c1l75QqRR48,454.0
Rotterdam: the City Rebuilt for Cars,https://www.youtube.com/watch?v=22ovt1EMULY,533.0
Car-free travel in Rotterdam (Netherlands),https://www.youtube.com/watch?v=PgFVjCL21WI,389.0
Why the Dutch Wait Less at Traffic Lights,https://www.youtube.com/watch?v=knbVWXzL4-4,635.0
Why Passenger Trains Suck in Canada - VIA Rail,https://www.youtube.com/watch?v=n1G0Lyh3uik,499.0
The Lively & Liveable Neighbourhoods that are Illegal in Most of North America,https://www.youtube.com/watch?v=bnKIVX968PQ,439.0
The Best Kind of Dutch Cycling Infrastructure,https://www.youtube.com/watch?v=bMJaMy-0ChA,321.0
The Miniature Microcars of Amsterdam,https://www.youtube.com/watch?v=B9ly7JjqEb0,479.0
Why Cars Rarely Crash into Buildings in the Netherlands,https://www.youtube.com/watch?v=Ra_0DgnJ1uQ,377.0
Underground Bicycle Parking is Amazing,https://www.youtube.com/watch?v=9HdqTZs3vjU,475.0
A Faster Commute in Amsterdam - My Commute to Amsterdam Noord,https://www.youtube.com/watch?v=1UxCbmT9elk,384.0
Bicycle Ride - Amsterdam Rivierenbuurt to IKEA,https://www.youtube.com/watch?v=5iFlWteKVlY,1414.0
Why Great Cities Let You (Easily!) Cycle to IKEA,https://www.youtube.com/watch?v=CgvYgxo6UY8,289.0
Copenhagen is Great ... but it's not Amsterdam,https://www.youtube.com/watch?v=HjzzV2Akyds,616.0
Do Your Buses Get Stuck in Traffic? Traffic solutions & the Downs-Thomson Paradox,https://www.youtube.com/watch?v=RQY6WGOoYis,363.0
Traffic Calming is Everywhere in the Netherlands,https://www.youtube.com/watch?v=bAxRYrpbnuA,312.0
The Faster Way to Move House in Amsterdam,https://www.youtube.com/watch?v=56b5cI2qtYQ,981.0
Stop Signs Suck and We Should Get Rid of Them,https://www.youtube.com/watch?v=42oQN7fy_eM,364.0
We Have No Garbage Day in Amsterdam!,https://www.youtube.com/watch?v=0JtoSafhvLM,218.0
The Hidden Street Playgrounds of Amsterdam,https://www.youtube.com/watch?v=ybFG-GyS_38,215.0
The Dutch Solution for Safer Sidewalks - Continuous Sidewalks,https://www.youtube.com/watch?v=9OfBpQgLXUc,284.0
Car-free Streets are Amazing (and we need more of them),https://www.youtube.com/watch?v=GlXNVnftaNs,364.0
Bicycle tour of Frans Halsbuurt - a parking-free neighbourhood in Amsterdam,https://www.youtube.com/watch?v=Y0ntJ8DM8-8,597.0
Why Grocery Shopping is Better in Amsterdam,https://www.youtube.com/watch?v=kYHTzqHIngk,227.0
How Highways Almost Destroyed Amsterdam - Plan Jokinen,https://www.youtube.com/watch?v=vI5pbDFDZyI,206.0
Why Many Cities Suck (but Dutch Cities Don't),https://www.youtube.com/watch?v=F4kmDxcfR48,215.0
